Year,Origin,Dest,count
2008,LAS,SJC,8
1988,JFK,UCA,23
1988,SYR,DCA,18
1990,DCA,IND,22
1993,PIT,ALB,20
2002,MCI,PIT,6
2004,DFW,DEN,4
2004,IAD,ORD,3
2005,ORD,SMF,4
2007,MAF,HOU,1
2008,LAS,BUR,11
2008,LAS,MCI,5
2008,MDW,SAN,5
1987,LAX,ABQ,33
1987,MFR,SFO,14
1991,ORD,CLT,4
1992,IND,LAX,14
2001,CLE,CLT,5
2001,TPA,PHL,14
2005,DEN,LAX,10
2006,PHX,OMA,1
2007,TPA,CMH,1
2007,TUS,LAX,3
2007,AUS,MCO,1
2007,DAL,MSY,3
2008,IND,LAS,1
2008,LAS,OAK,13
1988,OAK,LAX,25
1989,SFO,IAH,21
1991,LEX,PIT,28
1992,IAH,PHL,1
1993,BDL,PIT,25
2003,DEN,IAD,2
2005,ORD,MSP,14
2007,CMH,TPA,1
1987,LAX,SAN,3
1994,SYR,EWR,21
2004,CLT,ORD,12
2006,PHL,RSW,3
2007,STL,MCI,1
1987,BUR,OAK,60
1991,CVG,CLT,12
1992,PHL,PBI,22
1994,PVD,PIT,15
2004,DEN,SJC,12
2006,TPA,PIT,1
2007,DEN,LAS,4
2007,MCI,MDW,5
2007,MDW,BDL,1
2008,SAN,SJC,8
2008,SDF,BWI,4
2008,SEA,PHX,3
1987,SNA,OAK,81
1991,DAY,PIT,10
1992,CLT,RDU,6
1994,MIA,LGA,18
2005,ORD,PIT,10
2005,DEN,OKC,6
2007,BWI,JAN,1
2007,DTW,MCO,1
2007,MCO,STL,3
2008,LAX,LAS,12
2008,MDW,AUS,2
2008,ONT,LAS,9
2008,PDX,PHX,3
2008,SEA,BOI,2
1987,OAK,SNA,93
1990,PHX,BUR,19
1991,PIT,MDW,22
1992,AVP,PIT,6
1993,PIT,ABE,32
2000,DEN,PHX,191
2005,DEN,MCI,16
2007,TPA,ISP,1
2007,MCO,RDU,2
2008,PIT,MCO,1
2008,RDU,BNA,4
2008,SDF,STL,3
1989,ORD,PHL,12
1993,CLE,PIT,5
1993,PHL,IAH,22
1994,PIT,RIC,1
1996,CLE,PHX,22
2003,MHT,ORD,3
2003,ORD,BOI,19
2004,PIT,ORD,19
2005,OAK,DEN,5
2005,PDX,DEN,8
2006,DCA,BDL,5
2006,PHL,PVD,1
2006,SAN,PHL,2
2006,STL,PHX,1
2007,ELP,PHX,3
2007,ELP,SAT,4
2007,HOU,TPA,2
2007,LAS,OKC,1
1988,CHS,ORF,9
1989,HNL,OGG,22
1998,DFW,PHX,108
2005,BOS,ORD,43
2006,IAH,PHL,1
2006,PHL,DCA,2
2006,CLT,STT,1
2007,LAS,OMA,3
2008,MDW,DTW,7
2008,MDW,SMF,2
2008,SFO,SAN,5
1993,CLE,BOS,8
1994,TPA,PIT,19
1995,PHX,PHL,39
2006,LAS,MIA,1
2007,MDW,IND,4
2008,JAX,BWI,2
2008,PBI,PHL,2
1989,BWI,ORD,20
1992,RSW,CLT,15
1993,PIT,EWR,15
1994,DCA,PIT,1
1994,MHT,PHL,11
2002,RDU,PIT,11
2002,AVP,PHL,3
2004,DEN,MIA,10
2007,ABQ,ELP,3
2007,BNA,MSY,1
2007,DAL,SAT,5
2007,LAS,TPA,1
2008,MDW,CMH,6
2008,PHX,LAS,13
2008,RSW,PHL,1
2008,SAT,ELP,3
1988,LGA,GSO,45
1989,OMA,DEN,9
2002,PBI,DCA,19
2003,ORD,MSY,1
2004,ORD,MCI,24
2006,FLL,EYW,2
2006,PDX,LAS,1
2007,FLL,TPA,5
2008,OKC,DAL,2
1987,LAX,SFO,180
1993,PHL,DTW,11
2000,BUR,PHX,169
2006,CLT,MCI,1
2006,DEN,LAS,2
2007,LAS,MCI,5
2008,MCI,SMF,1
2008,SJC,SAN,10
1989,LAX,ORD,9
1991,LAS,SFO,4
1992,BWI,PIT,1
1993,BWI,IND,17
1995,ROC,PHL,64
2002,BNA,PHL,11
2003,DEN,SJC,5
2004,OAK,ORD,2
2004,BDL,IAD,12
2005,ORD,OMA,2
2006,LAX,PHL,3
2006,PHX,LAX,3
